Name,Genre,Year,Duration,Average_Rating,Num_of_Rating(in K)
The Shawshank Redemption,Drama,1994,2.22,9.3,3100
The Godfather,Drama,1972,2.55,9.2,2200
The Dark Knight,Thriller,2008,2.32,9.1,3100
The Godfather Part II,Drama,1974,3.22,9.0,1400
12 Angry Men,Drama,1957,1.36,9.0,946
The Lord of the Rings: The Return of the King,Drama,2003,3.21,9.0,2100
Schindler's List,History,1993,3.15,9.0,1500
Pulp Fiction,Drama,1994,2.34,8.8,2400
The Lord of the Rings: The Fellowship of the Ring,Fantasy,2001,2.58,8.9,2100
"The Good, the Bad and the Ugly",Adventure,1966,2.58,8.8,866
Forrest Gump,Romance,1994,2.22,8.8,2400
The Lord of the Rings: The Two Towers,Fantasy,2002,2.59,8.8,1900
Fight Club,Thriller,1999,2.19,8.8,2500
Inception,Thriller,2010,2.28,8.8,2700
Star Wars: Episode V - The Empire Strikes Back,Sword & Sorcery,1980,2.4,8.7,1500
The Matrix,Sci-Fi,1999,2.16,8.7,2200
Goodfellas,Drama,1990,2.25,8.7,1300
Interstellar,Sci-Fi,2014,2.49,8.7,2400
One Flew Over the Cuckoo's Nest,Drama,1975,2.13,8.7,1100
Se7en,Mystery,1995,2.7,8.6,1900
It's a Wonderful Life,Romance,1946,2.1,8.6,534
The Silence of the Lambs,Thriller,1991,1.58,8.6,1700
Seven Samurai,Drama,1954,3.27,8.6,390
Saving Private Ryan,War,1998,2.49,8.6,1600
The Green Mile,Mystery,1999,3.9,8.6,1500
City of God,Drama,2002,2.1,8.6,848
Life Is Beautiful,War,1997,1.56,8.6,789
Terminator 2: Judgment Day,Sci-Fi,1991,2.17,8.6,1200
Star Wars: Episode IV - A New Hope,Action,1977,2.1,8.6,1500
Back to the Future,Sci-Fi,1985,1.56,8.5,1400
Spirited Away,Fantasy,2001,2.4,8.6,928
The Pianist,War,2002,2.3,8.5,982
Gladiator,Drama,2000,2.35,8.5,1800
Parasite,Thriller,2019,2.12,8.5,1100
Psycho,Thriller,1960,1.49,8.5,762
The Lion King,Musical,1994,1.28,8.5,1200
Grave of the Fireflies,War,1988,1.28,8.5,360
The Departed,Thriller,2006,2.31,8.5,1500
Whiplash,Music,2014,1.46,8.5,1100
Harakiri,Mystery,1962,2.13,8.6,83
The Prestige,Thriller,2006,2.1,8.5,1500
American History X,Drama,1998,1.59,8.5,1200
Léon: The Professional,Thriller,1994,1.5,8.5,1300
Spider-Man: Across the Spider-Verse,Fantasy,2023,2.2,8.5,477
Casablanca,War,1942,1.42,8.5,639
Cinema Paradiso,Romance,1988,2.54,8.5,306
The Usual Suspects,Mystery,1995,1.46,8.5,1200
The Intouchables,Drama,2011,1.52,8.5,992
Alien,Sci-Fi,1979,1.57,8.5,1000
Modern Times,Romance,1936,1.27,8.5,276
Rear Window,Thriller,1954,1.52,8.5,554
Django Unchained,Western,2012,2.45,8.5,1800
Once Upon a Time in the West,Western,1968,2.46,8.5,373
City Lights,Romance,1931,1.27,8.5,209
Apocalypse Now,War,1979,2.27,8.4,750
WALL·E,Animation,2008,1.38,8.4,1300
Memento,Thriller,2000,1.53,8.4,1400
Dune: Part Two,Sci-Fi,2024,2.46,8.5,661
Raiders of the Lost Ark,Adventure,1981,1.55,8.4,1100
