,Name,Genre,Year,Duration,Average_Rating,Num_of_Rating
0,1. The Shawshank Redemption,Drama,1994,2h 22m,9.3, (3.1M)
1,2. The Godfather,Drama,1972,2h 55m,9.2, (2.2M)
2,3. The Dark Knight,Thriller,2008,2h 32m,9.1, (3.1M)
3,4. The Godfather Part II,Drama,1974,3h 22m,9.0, (1.4M)
4,5. 12 Angry Men,Drama,1957,1h 36m,9.0, (946K)
5,6. The Lord of the Rings: The Return of the King,Drama,2003,3h 21m,9.0, (2.1M)
6,7. Schindler's List,History,1993,3h 15m,9.0, (1.5M)
7,8. Pulp Fiction,Drama,1994,2h 34m,8.8, (2.4M)
8,9. The Lord of the Rings: The Fellowship of the Ring,Fantasy,2001,2h 58m,8.9, (2.1M)
9,"10. The Good, the Bad and the Ugly",Adventure,1966,2h 58m,8.8, (866K)
10,11. Forrest Gump,Romance,1994,2h 22m,8.8, (2.4M)
11,12. The Lord of the Rings: The Two Towers,Fantasy,2002,2h 59m,8.8, (1.9M)
12,13. Fight Club,Thriller,1999,2h 19m,8.8, (2.5M)
13,14. Inception,Thriller,2010,2h 28m,8.8, (2.7M)
14,15. Star Wars: Episode V - The Empire Strikes Back,Sword & Sorcery,1980,2h 4m,8.7, (1.5M)
15,16. The Matrix,Sci-Fi,1999,2h 16m,8.7, (2.2M)
16,17. Goodfellas,Drama,1990,2h 25m,8.7, (1.3M)
17,18. Interstellar,Sci-Fi,2014,2h 49m,8.7, (2.4M)
18,19. One Flew Over the Cuckoo's Nest,Drama,1975,2h 13m,8.7, (1.1M)
19,20. Se7en,Mystery,1995,2h 7m,8.6, (1.9M)
20,21. It's a Wonderful Life,Romance,1946,2h 10m,8.6, (534K)
21,22. The Silence of the Lambs,Thriller,1991,1h 58m,8.6, (1.7M)
22,23. Seven Samurai,Drama,1954,3h 27m,8.6, (390K)
23,24. Saving Private Ryan,War,1998,2h 49m,8.6, (1.6M)
24,25. The Green Mile,Mystery,1999,3h 9m,8.6, (1.5M)
25,26. City of God,Drama,2002,2h 10m,8.6, (848K)
26,27. Life Is Beautiful,War,1997,1h 56m,8.6, (789K)
27,28. Terminator 2: Judgment Day,Sci-Fi,1991,2h 17m,8.6, (1.2M)
28,29. Star Wars: Episode IV - A New Hope,Action,1977,2h 1m,8.6, (1.5M)
29,30. Back to the Future,Sci-Fi,1985,1h 56m,8.5, (1.4M)
30,31. Spirited Away,Fantasy,2001,2h 4m,8.6, (928K)
31,32. The Pianist,War,2002,2h 30m,8.5, (982K)
32,33. Gladiator,Drama,2000,2h 35m,8.5, (1.8M)
33,34. Parasite,Thriller,2019,2h 12m,8.5, (1.1M)
34,35. Psycho,Thriller,1960,1h 49m,8.5, (762K)
35,36. The Lion King,Musical,1994,1h 28m,8.5, (1.2M)
36,37. Grave of the Fireflies,War,1988,1h 28m,8.5, (360K)
37,38. The Departed,Thriller,2006,2h 31m,8.5, (1.5M)
38,39. Whiplash,Music,2014,1h 46m,8.5, (1.1M)
39,40. Harakiri,Mystery,1962,2h 13m,8.6, (83K)
40,41. The Prestige,Thriller,2006,2h 10m,8.5, (1.5M)
41,42. American History X,Drama,1998,1h 59m,8.5, (1.2M)
42,43. Léon: The Professional,Thriller,1994,1h 50m,8.5, (1.3M)
43,44. Spider-Man: Across the Spider-Verse,Fantasy,2023,2h 20m,8.5, (477K)
44,45. Casablanca,War,1942,1h 42m,8.5, (639K)
45,46. Cinema Paradiso,Romance,1988,2h 54m,8.5, (306K)
46,47. The Usual Suspects,Mystery,1995,1h 46m,8.5, (1.2M)
47,48. The Intouchables,Drama,2011,1h 52m,8.5, (992K)
48,49. Alien,Sci-Fi,1979,1h 57m,8.5, (1M)
49,50. Modern Times,Romance,1936,1h 27m,8.5, (276K)
50,51. Rear Window,Thriller,1954,1h 52m,8.5, (554K)
51,52. Django Unchained,Western,2012,2h 45m,8.5, (1.8M)
52,53. Once Upon a Time in the West,Western,1968,2h 46m,8.5, (373K)
53,54. City Lights,Romance,1931,1h 27m,8.5, (209K)
54,55. Apocalypse Now,War,1979,2h 27m,8.4, (750K)
55,56. WALL·E,Animation,2008,1h 38m,8.4, (1.3M)
56,57. Memento,Thriller,2000,1h 53m,8.4, (1.4M)
57,58. Dune: Part Two,Sci-Fi,2024,2h 46m,8.5, (661K)
58,59. Raiders of the Lost Ark,Adventure,1981,1h 55m,8.4, (1.1M)
59,60. Avengers: Infinity War,Sci-Fi,2018,2h 29m,8.4, (1.3M)
60,61. The Lives of Others,Thriller,2006,2h 17m,8.4, (432K)
61,62. Sunset Boulevard,Drama,1950,1h 50m,8.4, (252K)
62,63. Spider-Man: Into the Spider-Verse,Action,2018,1h 57m,8.4, (749K)
63,64. Witness for the Prosecution,Thriller,1957,1h 56m,8.4, (153K)
64,65. Paths of Glory,War,1957,1h 28m,8.4, (230K)
65,66. The Shining,Horror,1980,2h 26m,8.4, (1.2M)
66,67. The Great Dictator,War,1940,2h 5m,8.4, (251K)
67,68. Inglourious Basterds,War,2009,2h 33m,8.4, (1.7M)
68,69. 12th Fail,Drama,2023,2h 27m,8.7, (155K)
69,70. Aliens,Sci-Fi,1986,2h 17m,8.4, (818K)
70,71. The Dark Knight Rises,Thriller,2012,2h 44m,8.4, (1.9M)
71,72. Coco,Mystery,2017,1h 45m,8.4, (666K)
72,73. Amadeus,Music,1984,2h 40m,8.4, (454K)
73,74. Avengers: Endgame,Sci-Fi,2019,3h 1m,8.4, (1.4M)
74,75. Toy Story,Fantasy,1995,1h 21m,8.3, (1.1M)
75,76. Good Will Hunting,Romance,1997,2h 6m,8.3, (1.2M)
76,77. High and Low,Thriller,1963,2h 23m,8.4, (63K)
77,78. Oldboy,Thriller,2003,2h,8.3, (691K)
78,79. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,War,1964,1h 35m,8.3, (542K)
79,80. Das Boot,War,1981,2h 29m,8.4, (282K)
80,81. Braveheart,War,1995,2h 58m,8.3, (1.1M)
81,82. Your Name.,Romance,2016,1h 46m,8.4, (368K)
82,83. Princess Mononoke,Supernatural Fantasy,1997,2h 13m,8.3, (467K)
83,84. American Beauty,Drama,1999,2h 2m,8.3, (1.3M)
84,85. 3 Idiots,Drama,2009,2h 50m,8.4, (466K)
85,86. Joker,Thriller,2019,2h 2m,8.3, (1.6M)
86,87. Capernaum,Drama,2018,2h 6m,8.4, (119K)
87,88. Once Upon a Time in America,Drama,1984,3h 49m,8.3, (399K)
88,89. Singin' in the Rain,Romance,1952,1h 43m,8.3, (276K)
89,90. Come and See,War,1985,2h 22m,8.3, (116K)
90,91. Requiem for a Dream,Drama,2000,1h 42m,8.3, (950K)
91,92. Star Wars: Episode VI - Return of the Jedi,Space Sci-Fi,1983,2h 11m,8.3, (1.2M)
92,93. Toy Story 3,Fantasy,2010,1h 43m,8.3, (943K)
93,94. The Hunt,Drama,2012,1h 55m,8.3, (395K)
94,95. Ikiru,Drama,1952,2h 23m,8.3, (99K)
95,96. Eternal Sunshine of the Spotless Mind,Sci-Fi,2004,1h 48m,8.3, (1.2M)
96,97. Incendies,War,2010,2h 11m,8.3, (235K)
97,98. The Apartment,Comedy,1960,2h 5m,8.3, (212K)
98,99. Lawrence of Arabia,War,1962,3h 47m,8.3, (333K)
99,100. 2001: A Space Odyssey,Sci-Fi,1968,2h 29m,8.3, (762K)
100,101. Reservoir Dogs,Thriller,1992,1h 39m,8.3, (1.1M)
101,102. Scarface,Drama,1983,2h 50m,8.3, (982K)
102,103. Heat,Drama,1995,2h 50m,8.3, (772K)
103,104. Double Indemnity,Thriller,1944,1h 47m,8.3, (177K)
104,105. North by Northwest,Thriller,1959,2h 16m,8.3, (363K)
105,106. Up,Family,2009,1h 36m,8.3, (1.2M)
106,107. M,Thriller,1931,1h 39m,8.3, (179K)
107,108. Citizen Kane,Mystery,1941,1h 59m,8.2, (486K)
108,109. Full Metal Jacket,War,1987,1h 56m,8.2, (831K)
109,110. Vertigo,Thriller,1958,2h 8m,8.2, (450K)
110,111. Amélie,Romance,2001,2h 2m,8.3, (825K)
111,112. Like Stars on Earth,Family,2007,2h 42m,8.3, (224K)
112,113. A Separation,Drama,2011,2h 3m,8.3, (272K)
113,114. To Kill a Mockingbird,Drama,1962,2h 9m,8.3, (346K)
114,115. Die Hard,Thriller,1988,2h 12m,8.2, (1M)
115,116. Indiana Jones and the Last Crusade,Adventure,1989,2h 7m,8.2, (847K)
116,117. The Sting,Drama,1973,2h 9m,8.2, (293K)
117,118. A Clockwork Orange,Sci-Fi,1971,2h 16m,8.2, (919K)
118,119. Metropolis,Sci-Fi,1927,2h 33m,8.3, (197K)
119,120. Oppenheimer,History,2023,3h,8.3, (932K)
120,121. Snatch,Crime,2000,1h 42m,8.2, (955K)
121,122. 1917,War,2019,1h 59m,8.2, (741K)
122,123. L.A. Confidential,Mystery,1997,2h 18m,8.2, (647K)
